Lecture 24,Lecture 25,Lecture 26,Lecture 27,Lecture 28,Activity Week 6,Activity Week 13,Student,Lecture 1,Lecture 2,Lecture 3,Lecture 4,Lecture 5,Lecture 6,Lecture 7,Lecture 8,Lecture 9,Lecture 10,Lecture 11,Lecture 12,Lecture 13,Lecture 14,Lecture 15,Lecture 16,Lecture 17,Lecture 18,Lecture 19,Lecture 20,Lecture 21,Lecture 22,Lecture 23,Activity Week 1,Activity Week 2,Activity Week 3,Activity Week 4,Activity Week 5,Activity Week 7,Activity Week 8,Activity Week 9,Activity Week 10,Activity Week 11,Activity Week 12,Activity Week 15,Activity Week 16
,,,,,,,1,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,2,2,2,1,2,0,2,2,2,1,0,2,2,2,0,0,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,3,1,2,1,2,1,2,2,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
,,,,,,,4,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,5,2,1,0,2,1,0,2,2,1,1,2,0,0,2,1,0,2,2,0,0,1,1,0,2,2,0,2,0,2,2,0,2,0,2,0,2
,,,,,,,6,1,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,1,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,7,2,2,0,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2
,,,,,,,8,2,2,0,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,0,2,2,2,2,0,2,2
,,,,,,,9,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,10,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,11,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
,,,,,,,12,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,13,2,2,1,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2
,,,,,,,14,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,15,0,0,1,0,1,2,0,0,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,2,0,2,2,2,2,2,2,2,0,0,0
,,,,,,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,17,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,18,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2
,,,,,,,19,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
,,,,,,,20,1,2,1,2,0,2,2,2,1,1,2,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,21,2,2,0,2,0,2,2,2,1,1,2,2,2,2,0,1,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
,,,,,,,22,2,2,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
,,,,,,,23,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2
,,,,,,,24,1,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0
,,,,,,,25,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,26,2,2,1,2,0,2,0,0,1,1,2,1,0,2,0,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,27,2,1,1,2,1,1,2,1,1,1,2,2,2,2,1,1,0,2,0,2,2,1,0,2,2,2,2,2,2,0,2,2,0,0,0,0
,,,,,,,28,2,2,1,2,1,2,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,0,2,2
,,,,,,,29,2,2,1,0,1,1,1,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
,,,,,,,30,2,2,1,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,31,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
,,,,,,,32,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2
,,,,,,,33,1,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0
,,,,,,,34,2,2,1,2,1,2,2,2,1,1,0,2,2,2,1,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,35,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2
,,,,,,,36,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,37,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,38,1,2,1,2,1,2,2,2,1,1,2,2,2,0,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2
,,,,,,,39,2,1,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2
,,,,,,,40,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
