Table Names,Student,HW 1: Vocab ,HW 2: Qualitative Data ,HW 3: Quantitative Displays ,HW 6: Relative Position,HW 7R: Midterm 1 Review,HW 12: RV & Normal Dist part 1,HW 20R: Final Exam Review 1,HW 24R: Final Exam Review 2,HW 4: Quantitative Data part 1,HW 5: Quantitative Data part 2,HW 8: Scatterplots and correlation,"HW 9: Correlation, Regression",HW 10: Probability Part 1,HW 11: Probability Part 2,HW 13: Normal Distribution part 2,HW 14: Sampling Distributions of p-hat,HW 15: 1 sample CI for p (part 1),HW 16: 1 sample CI for p (part 2),HW 17: Intro to Hypothesis Testing,HW 18R: Midterm 2 Review,HW 19: 1 sample HT for p,HW 21: Sampling Distribution of x-bar,HW 22: 1 sample CI for mu,HW 23: 1 sample HT for mu
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.01,9.67,9.08,4.7,9.18,10,10,9.8,7.22,10,10,9.05,10,10,10,9.47,10,10,10,9.36,9.75,10,10,7.48,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.02,9.34,1.15,9.3,10,10,0,0,10,3.47,10,9.43,0,10,10,0,0,3.17,0,0,10,0,0,0,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.03,10,9.54,9.7,10,10,9.31,10,10,9.57,10,9.44,10,10,10,9.74,10,9.48,10,9.68,9.75,9.41,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.04,9.34,9.09,9.4,9.58,9.76,9.08,9.8,10,10,0,9.62,1.86,10,9.37,7.61,0,0,0,4.69,0,9.41,9.44,9.37,5.66
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.05,7.34,10,5.9,8.53,4.52,6.34,8.4,10,9.57,8.22,7.38,9.63,10,8.44,8.67,2.93,0,8.34,4.21,7.25,9.41,10,8.44,5.99
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.06,10,9.54,9.6,8.78,9.76,0,0,2.59,9.56,9.28,8.86,10,10,10,7.63,8.91,9.47,9.16,8.4,8,8.82,10,8.11,8.65
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.07,10,9.54,9.6,10,10,10,10,10,9.12,10,9.81,10,10,9.37,10,10,9.47,10,9.68,10,9.41,9.71,10,9.33
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.08,10,10,9.7,9.2,10,9.31,10,9.63,10,10,9.62,10,10,9.37,9.73,10,10,3.32,7.66,3.13,10,9.71,5,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.09,9.34,0,10,4.68,9.76,0,3.4,9.63,10,8.94,9.24,10,0.14,4.68,6.58,7.94,6.85,0,9.05,10,0,5,10,7.85
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.10,9.34,10,9.7,8.38,9.28,7.93,7,9.26,9.13,8.58,8.86,4.26,9.73,10,7.62,8.34,8.94,7.51,9.06,9.25,7.07,8,8.74,4.99
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.11,9.67,5,5,10,10,0,0,4.63,9.14,0,9.44,9.63,8.11,9.37,2.1,9.72,9.47,0,7.77,4.63,8.23,9.72,8.74,1.83
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.12,9.67,10,10,10,10,9.09,10,10,10,10,10,5,10,8.74,9.74,10,5,10,8.08,10,10,5.87,3.74,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.13,0,10,3.6,0,9.04,0,0,0,8.71,5,10,8.15,8.91,3.76,3.14,1.96,0.8,8.32,0,0,0,0,0,0
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.14,9.67,10,9.3,10,10,10,10,10,9.57,10,9.43,10,10,10,10,10,10,10,10,10,10,10,10,10
Hamilton Fall 2023.xlsx/2024-04-16T1312_Grades-STAT_108,F23.15,9.34,9.54,10,9.79,10,10,10,10,10,9.64,9.62,10,10,10,10,10,10,10,10,10,10,10,10,10
