Student,Total Score,Grade
1 Zhou,0.7792,C
2 Zhou,0.8242,B
3 Zhou,0.816,B
4 Zhou,0.8702,B
5 Zhou,0.6505,D
6 Zhou,0.8522,B
7 Zhou,0.8242,B
8 Zhou,0.8507,B
9 Zhou,0.7448,C
10 Zhou,0.8301,B
11 Zhou,0.8481,B
12 Zhou,0.8319,B
13 Zhou,0.5641,F
14 Zhou,0,F
15 Zhou,0.662,D
16 Zhou,0.7857,C
17 Zhou,0.7288,C
18 Zhou,0.7817,C
19 Zhou,0.8052,B
20 Zhou,0.7483,C
21 Zhou,0.7311,C
22 Zhou,0.7191,C
23 Zhou,0.4977,F
24 Zhou,0.6276,D
25 Zhou,0.8356,B
26 Zhou,0.801,B
27 Zhou,0.7238,C
28 Zhou,0.1712,F
29 Zhou,0.8265,B
30 Zhou,0.8394,B
31 Zhou,0.8152,B
33 Zhou,0.7161,C
34 Zhou,0.7825,C
35 Zhou,0.7624,C
36 Zhou,0.6326,D
37 Zhou,0.8428,B
38 Zhou,0.603,D
39 Zhou,0.619,D
40 Zhou,0.8262,B
41 Zhou,0.7755,C
42 Zhou,0.8609,B
43 Zhou,0.8451,B
44 Zhou,0.8582,B
45 Zhou,0.8209,B
46 Zhou,0.8179,B
47 Zhou,0.7996,C
48 Zhou,0.0647,F
49 Zhou,0.8546,B
50 Zhou,0.4807,F
51 Zhou,0.821,B
52 Zhou,0.4946,F
53 Zhou,0.761,C
54 Zhou,0.478,F
55 Zhou,0.8436,B
56 Zhou,0.6385,D
57 Zhou,0.8462,B
58 Zhou,0.4148,F
59 Zhou,0.81,B
60 Zhou,0.8074,B
61 Zhou,0.7589,C
62 Zhou,0.8479,B
63 Zhou,0.4535,F
64 Zhou,0.8713,B
65 Zhou,0.748,C
66 Zhou,0.725,C
67 Zhou,0.7645,C
68 Zhou,0.8514,B
69 Zhou,0.7508,C
70 Zhou,0.834,B
71 Zhou,0.7565,C
72 Zhou,0.6958,D
73 Zhou,0.7611,C
74 Zhou,0.7871,C
75 Zhou,0.843,B
76 Zhou,0.8497,B
77 Zhou,0.6003,D
78 Zhou,0.8407,B
79 Zhou,0.7049,C
80 Zhou,0.8235,B
81 Zhou,0.8252,B
82 Zhou,0.8258,B
83 Zhou,0.4827,F
84 Zhou,0.1378,F
85 Zhou,0.784,C
86 Zhou,0.8591,B
87 Zhou,0.4488,F
88 Zhou,0.7794,C
89 Zhou,0.8362,B
90 Zhou,0.7543,C
91 Zhou,0.7347,C
92 Zhou,0.6206,D
93 Zhou,0.8098,B
94 Zhou,0.5394,F
95 Zhou,0.7397,C
96 Zhou,0.7963,C
97 Zhou,0.7947,C
98 Zhou,0.6778,D
99 Zhou,0.7706,C
100 Zhou,0.8125,B
101 Zhou,0.4957,F
102 Zhou,0.8283,B
103 Zhou,0.7686,C
104 Zhou,0.8331,B
105 Zhou,0.8145,B
106 Zhou,0.8537,B
107 Zhou,0.8635,B
108 Zhou,0.6914,D
109 Zhou,0.7285,C
110 Zhou,0.8153,B
111 Zhou,0.8388,B
112 Zhou,0.8533,B
113 Zhou,0.592,F
1,0.9839,A
2,0.9455,A
3,0.8096,B
4,1.0033,A
5,0.4353,F
6,0.9333,A
7,0.9657,A
8,0.9224,A
9,0.9936,A
10,0.9922,A
11,0.9893,A
12,0.994,A
13,0.9385,A
14,0.964,A
15,0.3494,F
16,0.0109,F
17,0.6694,D
18,0.893,B
19,0.9559,A
20,0.8142,B
21,0.984,A
22,0.8615,B
23,0.9732,A
24,0.1782,F
25,0.9929,A
26,0.9393,A
27,0.3332,F
28,0.8537,B
29,0.4148,F
30,0.9742,A
31,0.887,B
32,0.9823,A
33,0.9049,A
34,0.9787,A
35,0.9206,A
36,0.931,A
37,0.8138,B
38,0.8254,B
39,0.9519,A
40,0.9283,A
41,0.9525,A
42,0.9333,A
43,0.8918,B
44,0.8467,B
45,0.9673,A
46,0.1104,F
47,0.8015,B
48,0.928,A
49,0.9371,A
50,0.8544,B
51,0.9387,A
52,0.9162,A
53,0.6875,D
54,1.0044,A
55,0.9398,A
