Student,Informational Survey - No Drop (409780),Syllabus and Canvas Hunt - No Drop (423082),HW 1: Vocab (435821),HW 2: Qualitative Data (414111),HW 3: Quantitative Displays (434821),HW 4: Quantitative Data part 1 (434822),HW 5: Quantitative Data part 2 (434825),"HW 6: Z-scores, Empirical Rule, Percentiles (434823)",HW 7R: Midterm 1 Review - NO DROP (434824),HW 8: Scatterplots and correlation (460555),"HW 9: Correlation, Regression (460556)",HW 10: Probability (460557),HW 11: RV & Normal Dist part 1 (460558),HW 12: Normal Distribution part 2 (460559),HW 13: Sampling Distributions of p-hat (460560),HW 14: 1 sample CI for p (part 1) (460563),HW 15: 1 sample CI for p (part 2) (460562),HW 16: Hypotheses and Errors (485107),HW 17: 1 sample HT for p (485108),HW 18: Sampling Distribution of x-bar (485058),HW 19: 1 sample CI for mu (485061),HW 20: 1 sample HT for mu (485062),HW 21: Review - NO DROP (573550),HW 22: Tests for Independence (573549),HW 23: Review - NO DROP (573622),Week 2 (408093),Week 3 (408094),Week 4 (408095),Week 5 (408096),Week 6 (408097),Week 7 (408098),Week 8 (408099),Week 9 (408100),Week 10 (408101),Week 12 (408102),Week 13 (408103),Week 14 (408104),Week 15 (408105),Week 16 - NO Drop (408106),Project 1 (408190),Project 2 (408191),Project 3 (408192),Midterm 1 (408091),Midterm 2 (408092),Maintenance - Midterm 1 (408087),Maintenance - Midterm 2  (408088),Final Exam (408066),Research Survey 1 (409969),Research Survey 2 (572727),Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Activity Attendance & Participation Current Points,Activity Attendance & Participation Final Points,Activity Attendance & Participation Current Score,Activity Attendance & Participation Unposted Current Score,Activity Attendance & Participation Final Score,Activity Attendance & Participation Unposted Final Score,Projects Current Points,Projects Final Points,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm Exams Current Points,Midterm Exams Final Points,Midterm Exams Current Score,Midterm Exams Unposted Current Score,Midterm Exams Final Score,Midterm Exams Unposted Final Score,Maintenance Current Points,Maintenance Final Points,Maintenance Current Score,Maintenance Unposted Current Score,Maintenance Final Score,Maintenance Unposted Final Score,Final Exam Current Points,Final Exam Final Points,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Research Surveys - Extra Credit Current Points,Research Surveys - Extra Credit Final Points,Research Surveys - Extra Credit Current Score,Research Surveys - Extra Credit Unposted Current Score,Research Surveys - Extra Credit Final Score,Research Surveys - Extra Credit Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Override Score,Override Status
    Points Possible,10,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,60,125,125,25,25,200,0,0,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),,
S23.01,10,20,9.67,10,10,10,10,9.58,20,9.44,10,10,10,10,9.72,8.94,10,9.36,8.82,10,10,9.67,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,60,113,109,25,25,167,10,10,258.08,258.08,99.26,99.26,99.26,99.26,60,60,100,100,100,100,180,180,100,100,100,100,222,222,88.8,88.8,88.8,88.8,50,50,100,100,100,100,167,167,83.5,83.5,83.5,83.5,20,20,,,,,957.08,957.08,95.71,95.71,95.71,95.71,,
S23.02,10,20,10,9.54,10,10,9.64,9.79,20,9.63,10,10,10,10,10,10,10,10,9.41,10,10,9.66,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,59,59,60,126,122,25,25,178,10,10,259.09,259.09,99.65,99.65,99.65,99.65,60,60,100,100,100,100,178,178,98.89,98.89,98.89,98.89,248,248,99.2,99.2,99.2,99.2,50,50,100,100,100,100,178,178,89,89,89,89,20,20,,,,,993.09,993.09,99.31,99.31,99.31,99.31,,
S23.03,10,20,10,10,10,10,10,10,20,10,10,5.2,10,10,10,10,10,10,8.82,10,8.74,10,19.6,9.46,19.26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,55,60,58,123,125,25,25,167,10,10,258.32,258.32,99.35,99.35,99.35,99.35,60,60,100,100,100,100,173,173,96.11,96.11,96.11,96.11,248,248,99.2,99.2,99.2,99.2,50,50,100,100,100,100,167,167,83.5,83.5,83.5,83.5,20,20,,,,,976.32,976.32,97.63,97.63,97.63,97.63,,
S23.04,10,20,10,10,10,9.57,10,10,20,10,10,10,9.78,10,10,10,10,9.69,10,10,10,10,20,10,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,60,60,127,122,25,25,189,10,10,260,260,100,100,100,100,60,60,100,100,100,100,180,180,100,100,100,100,249,249,99.6,99.6,99.6,99.6,50,50,100,100,100,100,189,189,94.5,94.5,94.5,94.5,20,20,,,,,1008,1008,100.8,100.8,100.8,100.8,,
S23.05,10,20,10,10,9.6,10,10,9.59,20,9.62,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,55,60,58,123,123,25,25,172,10,10,229.22,229.22,91.69,91.69,91.69,91.69,60,60,100,100,100,100,173,173,96.11,96.11,96.11,96.11,246,246,98.4,98.4,98.4,98.4,50,50,100,100,100,100,172,172,86,86,86,86,20,20,,,,,950.22,950.22,95.98,95.98,95.98,95.98,,
S23.06,10,20,10,10,10,10,10,9.8,20,10,10,10,10,10,10,10,8.34,10,10,10,10,10,20,10,20,5,5,5,5,5,5,5,5,5,0,5,5,5,5,55,60,60,105,111,25,25,111,10,10,260,260,100,100,100,100,60,60,100,100,100,100,175,175,97.22,97.22,97.22,97.22,216,216,86.4,86.4,86.4,86.4,50,50,100,100,100,100,111,111,55.5,55.5,55.5,55.5,20,20,,,,,892,892,89.2,89.2,89.2,89.2,,
S23.07,10,20,10,9.54,9.1,9.57,10,9.38,19.52,9.62,10,10,8.75,9.09,10,10,10,10,9.41,10,10,9.66,10,9.73,20,5,5,5,5,5,5,5,0,5,5,5,5,5,5,57,57,60,95,90,25,25,104,10,10,246.43,246.43,94.78,94.78,94.78,94.78,60,60,100,100,100,100,174,174,96.67,96.67,96.67,96.67,185,185,74,74,74,74,50,50,100,100,100,100,104,104,52,52,52,52,20,20,,,,,839.43,839.43,83.94,83.94,83.94,83.94,,
S23.08,10,20,9.01,10,8.8,9.57,9.64,9.16,19.04,9.43,9.63,9.6,9.33,9.73,7.78,9.47,10,10,8.82,9.42,8.76,0,0,10,19.26,5,5,5,5,5,5,5,5,0,5,0,5,5,5,51,60,57,114,85,25,25,150,0,10,229.91,229.91,88.43,88.43,88.43,88.43,60,60,100,100,100,100,168,168,93.33,93.33,93.33,93.33,199,199,79.6,79.6,79.6,79.6,50,50,100,100,100,100,150,150,75,75,75,75,10,10,,,,,866.91,866.91,86.69,86.69,86.69,86.69,,
S23.09,10,16,9.67,10,9.7,0,7.52,7.09,20,8.51,8.15,8.8,1.98,8.66,9.46,7.35,5,10,10,9.42,10,8.34,0.6,9.19,17.78,5,5,5,5,5,0,5,0,0,0,5,5,0,5,52,42,55,78,70,25,25,116,10,0,216.24,216.24,83.17,83.17,83.17,83.17,45,45,75,75,75,75,149,149,82.78,82.78,82.78,82.78,148,148,59.2,59.2,59.2,59.2,50,50,100,100,100,100,116,116,58,58,58,58,10,10,,,,,734.24,734.24,73.42,73.42,73.42,73.42,,
