Midterm 1 - extra 2 points (Fall 24),Midterm 2 - extra 5 points (Fall 24),Student,Midterm 1,Midterm 2,Maintenance - Midterm 1,Maintenance - Midterm 2,Final Exam
2,5,1,94.5,98,20,25,171
2,0,2,97,84,20,25,164
2,5,3,66,61,20,25,137
2,5,4,92,96,20,25,180
2,0,5,80,0,20,0,0
2,5,6,83,83,20,25,152.5
2,5,7,89.5,94,20,25,159
2,0,8,78,92,20,25,161
2,5,9,97,94,20,25,171
2,5,10,91,99,20,25,171
2,0,11,92,95,20,25,174
2,5,12,87.5,99,20,25,179
2,5,13,86,75,20,25,171.5
2,5,14,91.75,86,20,25,165
2,0,15,58.5,37,0,0,0
2,0,16,0,0,0,0,0
2,0,17,59.25,22,20,25,69.5
2,0,18,90.5,81,20,25,134
2,5,19,79.5,85,20,25,167.5
2,5,20,58,56,20,25,123.5
2,0,21,97,94,20,25,174.5
2,0,22,79.5,85,20,25,121
2,0,23,87,94,20,25,178
2,0,24,60,0,0,0,0
2,5,25,98,87,20,25,180
2,5,26,97,92,20,25,152
2,0,27,59.5,0,0,0,0
2,5,28,79,61,20,25,119
2,0,29,80.5,0,20,0,0
2,5,30,89,91,20,25,159.5
2,0,31,83,72,20,25,141
2,5,32,84,95,20,25,171
2,0,33,91,86,20,25,126.5
2,5,34,99,92,20,25,164
2,0,35,71,96,20,25,155
2,5,36,81,92,20,25,151.5
2,5,37,68,63,20,25,79
2,5,38,81,50,20,25,106
2,5,39,81,87,20,25,160.5
2,5,40,60,87,20,25,165
2,5,41,81,85,20,25,165
2,5,42,81,95,20,25,156.5
2,5,43,83,81,20,25,153.5
2,0,44,91,78,20,25,152
2,0,45,91,88,20,25,171
2,0,46,43.5,0,0,0,0
2,5,47,84,61,20,25,142.5
2,5,48,82,88,20,25,169
2,5,49,84,77,20,25,155
2,0,50,82,80,20,25,145
2,5,51,93,93,20,25,177.5
2,0,52,90,90,20,25,147
2,5,53,76,48,20,25,115.5
2,5,54,95,100,20,25,169
2,5,55,87,85,20,25,174
2,5,56,78,66,20,25,163
2,0,57,87,99,20,25,177
2,5,58,57,44,20,25,130.5
2,5,59,83.75,82,20,25,153.5
2,0,60,69.25,69,0,0,113
2,0,61,93,94,20,25,176
2,5,62,84.75,91,20,25,155.5
2,5,63,83,97,20,25,159
2,0,64,81,97,20,25,173
2,5,65,92,97,20,25,176
2,5,66,95,95,20,25,180
2,5,67,84,40,20,25,156
2,5,68,85,91,20,25,174
2,0,69,89,96,20,25,180
2,0,70,100,95,20,25,178
2,0,71,0,0,0,0,0
2,0,72,47,29,20,25,0
2,5,73,71.25,81,20,25,165
2,5,74,51,57,20,25,118
2,0,75,49,0,0,0,0
2,5,76,99,93,20,25,179
2,5,77,73,69,20,25,120
2,5,78,36,26,20,25,61
2,0,79,78.5,87,20,25,167.5
2,5,80,83.5,72,20,25,140.5
2,5,81,72,93,20,25,156
2,5,82,94,64,20,25,129.5
2,5,83,93,87,20,25,169.5
2,0,84,100,98,20,25,179.5
2,5,85,65.25,57,20,25,126.5
2,5,86,97,82,20,25,167
2,5,87,86,98,20,25,162.5
2,0,88,89,91,20,25,169
2,0,89,59,37,0,25,87
2,5,90,91,96,20,25,161.5
2,5,91,87,92,20,25,159
2,0,92,89,75,20,25,113
2,5,93,76,71,20,25,135
2,0,94,90,93,20,25,166
2,0,95,0,0,0,0,0
2,5,96,66.5,90,0,25,124
2,5,97,30.5,52,20,25,83.5
2,0,98,86,90,20,25,156
,,F23.01,83,89,20,20,152
,,F23.02,82,89,20,20,183
,,F23.03,91.5,81,20,20,182
,,F23.04,75,22,20,20,75
,,F23.05,75,70,20,20,117.9
,,F23.06,52,63,20,20,130
,,F23.07,95.5,83,20,20,184
,,F23.08,93,91,20,20,181
,,F23.09,66,75,20,20,142
,,F23.10,64,64,20,20,115
,,F23.11,88,78,20,20,155
,,F23.12,98,97,20,20,187
,,F23.13,49,10,20,0,0
,,F23.14,80,92,20,20,163
,,F23.15,97,90,20,20,173
,,F23.16,39.5,54,20,20,103
,,F23.17,94,75,20,20,124
,,F23.18,94.5,91,20,20,158
,,F23.19,90,73,20,20,91
,,F23.20,97,92,20,20,166
,,F23.21,40.5,12,0,0,0
,,F23.22,49,0,0,0,0
,,F23.23,85,68,20,20,122
,,F23.24,76,76,20,20,127
,,F23.25,93,95,20,20,159
,,F23.26,56.5,81,0,20,101
,,F23.27,67,32,20,20,65.7
,,F23.28,58,0,0,0,0
,,F23.29,98,93,20,20,175
,,F23.30,82,55,20,0,76
,,F23.31,89,94,20,20,186
,,F23.32,61,57,20,20,94
,,F23.33,99,95,20,20,194
,,F23.34,56,0,10,0,0
,,F23.35,100,98,20,20,190
,,F23.36,74,59,20,20,128
,,F23.37,86,72,20,20,154
,,F23.38,92,69,20,0,118
,,F23.39,67.5,42,20,20,75
,,F23.40,81.5,75,20,20,104
,,F23.41,59,53,20,20,125
,,F23.42,77,90,20,20,180
,,F23.43,92.5,98,20,20,188
,,F23.44,91.5,62,20,20,125
,,F23.45,95.5,97,20,20,194
,,F23.46,91,92,20,20,179
,,F23.47,72,70,20,20,114.7
,,F23.48,74,83,20,20,157
,,F23.49,84,0,20,0,0
,,F23.50,42,23,0,20,72
,,F23.51,71.5,0,20,0,123
,,F23.52,92,81,20,20,177
,,F23.53,67.5,82,20,20,127
,,F23.54,70,71,20,20,149
,,F23.55,69,80,20,20,130
,,F23.56,92,89,20,20,178
,,F23.57,71,16,20,0,0
,,F23.58,84,89,20,20,166
