Student,Project 1 - COVID Tracker,Project 1 - Heart Disease,Project 1 - NFL Combine,Project 1 - US Health Insurance,Project 1 - Homelessness,Project 1 - College Majors,Project 2 - Heart Disease,Project 2 - NFL Combine,Project 2 - US Health Insurance,Project 2 - Homelessness,Project 2 - College Majors,Project 3 - Heart Disease,Project 3 - NFL Combine,Project 3 - US Health Insurance,Project 3 - Homelessness,Project 3 - College Majors,Project 2 - COVID 19 Tracker,Project 3 - COVID 19 Tracker
1,0,0,0,11,0,0,0,0,0,15,0,0,15,0,0,0,0,0
2,0,0,13,0,0,0,0,15,0,0,0,0,14,0,0,0,0,0
3,0,0,0,0,0,11,0,0,0,0,12.5,0,0,0,0,14.5,0,0
4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,0,0,0
6,0,0,0,0,14.5,0,0,15,0,0,0,0,0,0,0,14.25,0,0
7,0,0,13,0,0,0,0,15,0,0,0,0,14,0,0,0,0,0
8,0,0,13,0,0,0,0,0,0,0,14.5,0,15,0,0,0,0,0
9,0,0,13,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0
10,0,14,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0
11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,15,0
12,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,14.75,0,0
13,14,0,0,0,0,0,13,0,0,0,0,14,0,0,0,0,0,0
14,0,0,0,0,0,15,0,0,0,0,12.25,0,0,0,0,15,0,0
15,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,9,0,0,0,0,13.5,0,0,0,0,15,0,0
18,0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,14.25,0,0
19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
20,0,0,0,0,0,13,0,0,9,0,0,0,0,15,0,0,0,0
21,0,0,0,0,0,14,0,15,0,0,0,0,0,0,0,14.75,0,0
22,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,12,0,0
23,0,0,13,0,0,0,0,15,0,0,0,0,14,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,14,0,0,0,0,15,0,0,0,0,15,0,0
26,0,0,0,0,0,14,0,0,0,0,15,0,0,0,0,14.75,0,0
27,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,14,0,0,0,0,14.5,0,0,0,0,12,0,0
29,0,0,0,0,0,14,0,0,0,0,12.5,0,0,0,0,0,0,0
30,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0
31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15
32,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0
33,0,0,11,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0
34,0,0,12,0,0,0,0,15,0,0,0,0,14,0,0,0,0,0
35,0,0,0,0,14.35,0,0,0,0,14,0,0,0,0,10,0,0,0
36,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11
37,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,13,0
38,0,0,0,13,0,0,0,0,14,0,0,0,0,15,0,0,0,0
39,0,14,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0
40,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,15
41,0,0,0,0,0,14,0,0,0,0,15,0,0,0,0,15,0,0
42,0,0,0,0,15,0,0,0,0,15,0,7.5,0,0,0,0,0,0
43,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,15
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15
45,0,0,0,0,0,15,0,0,0,0,14.5,0,0,0,0,15,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,13,0,0,0,0,12,0,0,0,0,15,0,0,0,0,0
48,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,15,0,0
49,0,0,0,0,15,0,0,0,0,15,0,0,0,0,15,0,0,0
50,0,11,0,0,0,0,12,0,0,0,0,11,0,0,0,0,0,0
51,0,6,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0
52,0,0,0,0,13.7,0,0,0,0,13,0,0,0,0,14,0,0,0
53,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0
