Student,Midterm 1 (percent),Midterm 2 (percent),Final Exam (percent),Midterm 1 - extra 2 points (Fall 24),Midterm 2 - extra 5 points (Fall 24),Maintenance Midterm 1 (percent),Maintenance Midterm 2 (percent)
1 Zhou,0.86,0.77,0.77,,,1,1
2 Zhou,1,0.82,0.83,,,1,1
3 Zhou,0.98,0.83,0.85,,,1,1
4 Zhou,1,0.98,0.98,,,1,1
5 Zhou,0.85,0.5,0.42,,,1,0
6 Zhou,0.9,1,0.95,,,1,1
7 Zhou,0.92,0.91,0.89,,,1,1
8 Zhou,0.97,0.98,0.94,,,1,1
9 Zhou,0.94,0.87,0.72,,,1,1
10 Zhou,0.88,0.86,0.97,,,1,1
11 Zhou,1,0.98,0.88,,,1,1
12 Zhou,0.91,0.89,0.93,,,1,1
13 Zhou,0.35,0.19,0.6,,,1,1
14 Zhou,,,,,,,
15 Zhou,0.94,0.96,0,,,1,1
16 Zhou,1,0.59,0.84,,,1,1
17 Zhou,0.88,0.69,0.63,,,1,1
18 Zhou,0.79,0.79,0.98,,,1,1
19 Zhou,0.87,0.87,0.85,,,1,1
20 Zhou,0.82,0.59,0.79,,,1,1
21 Zhou,0.84,0.9,0.51,,,1,1
22 Zhou,0.59,0.68,0.82,,,1,1
23 Zhou,0.83,0.38,0.31,,,1,1
24 Zhou,0.66,0.63,0.65,,,0,1
25 Zhou,0.99,0.92,0.89,,,1,1
26 Zhou,0.97,0.9,0.68,,,1,1
27 Zhou,0.77,0.66,0.71,,,1,1
28 Zhou,0.21,0,0,,,0,1
29 Zhou,0.91,0.9,0.93,,,1,1
30 Zhou,0.96,0.88,0.93,,,1,1
31 Zhou,0.96,0.81,0.86,,,1,1
33 Zhou,0.79,0.77,0.55,,,1,1
34 Zhou,0.97,0.65,0.79,,,1,1
35 Zhou,0.88,0.75,0.64,,,1,1
36 Zhou,0.7,0.76,0.09,,,1,1
37 Zhou,1,0.89,0.89,,,1,1
38 Zhou,0.82,0.51,0.72,,,1,0
39 Zhou,0.71,0.68,0.28,,,1,0
40 Zhou,0.86,0.9,0.91,,,1,1
41 Zhou,0.95,0.57,0.87,,,1,1
42 Zhou,1,1,0.9,,,1,1
43 Zhou,1,0.9,0.92,,,1,1
44 Zhou,0.99,0.99,0.9,,,1,1
45 Zhou,0.96,0.81,0.89,,,1,1
46 Zhou,0.93,0.93,0.82,,,1,1
47 Zhou,0.92,0.89,0.91,,,1,1
