Student,Lec 1,Lec 2,Lec 3,Lec 4,Lec 5,Lec 6,Lec 7,Lec 8,Lec 9,Lec 10,Lec 11,Lec 12,Lec 13,Lec 14,Lec 15,Lec 16,Lec 17,Lec 18,Lec 19,Lec 20,Lec 21,Lec 22,Lec 23,Lec 24,Lec 25,Lec 26,Lec 27,Lec 28,Activity 1,Activity 2,Activity 3,Activity 4,Activity 5,Activity 6,Activity 7,Activity 8,Activity 9,Activity 10,Activity 11,Activity 12,Activity 13,Activity 14,Activity 15,Activity 16
1,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,0.5,0,1,1,1,0.1,1,0.5,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1
2,1,1,0.5,1,0,1,1,1,0.5,0,1,1,1,0,0,0.5,1,0,0,0.1,1,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1
3,0.5,1,0.5,1,0.5,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,1,1,0.1,1,1,1,,,,,,1,1,1,1,1,,1,1,1,1,0,1,,,1,1
4,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,0.1,1,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1
5,1,0.5,0,1,0.5,0,1,1,0.5,0.5,1,0,0,1,0.5,0,1,1,0,0,0.5,0.5,0,,,,,,1,1,0,1,0,,1,1,0,1,0,1,,,0,1
6,0.5,0.5,0.5,1,0.5,1,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,1,1,0.5,0.1,1,0,0.5,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1
7,1,1,0,1,0.5,1,1,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,0.1,1,1,1,,,,,,1,1,0,1,1,,1,1,1,1,1,1,,,1,1
8,1,1,0,1,0.5,1,1,1,0.5,0.5,1,1,0.5,1,0.5,0.5,1,1,1,0.1,1,1,0.5,,,,,,1,1,1,1,1,,0,1,1,1,1,0,,,1,1
9,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,0.1,1,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1
10,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,0.1,1,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1
11,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,0.1,1,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,0,,,1,1
12,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,0.1,1,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1
13,1,1,0.5,1,0.5,0.5,1,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,0.1,1,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,0,1
14,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,0.1,1,1,1,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1
15,0,0,0.5,0,0.5,1,0,0,0.5,0.5,0,0,0,0,0.5,0.5,1,1,0,0,0,0,0,,,,,,0,1,0,1,1,,1,1,1,1,1,0,,,0,0
